country,admin1,population,events,score
Algeria,Adrar,193820,165,2
Algeria,Ain Defla,414632,156,2
Algeria,Tissemsilt,389560,43,1
Algeria,Ain Temouchent,156436,93,2
Algeria,Alger,3425472,1224,3
Algeria,Annaba,492625,338,3
Algeria,Batna,422603,239,3
Algeria,Bechar,48563,78,2
Algeria,Bejaia,539290,971,3
Algeria,Tizi Ouzou,731143,1254,3
Algeria,Biskra,502796,182,2
Algeria,Blida,804584,225,3
Algeria,Bordj Bou Arreridj,375641,221,3
Algeria,Setif,630960,254,3
Algeria,Bouira,432779,773,3
Algeria,Boumerdes,717386,732,3
Algeria,Chlef,572387,229,3
Algeria,Constantine,598908,432,3
Algeria,Djelfa,663603,155,2
Algeria,El Bayadh,166009,29,1
Algeria,El Oued,401360,69,2
Algeria,El Tarf,265043,99,2
Algeria,Ghardaia,249514,148,2
Algeria,Guelma,234281,126,2
Algeria,Illizi,14634,50,2
Algeria,Djanet,14879,34,1
Algeria,Ain Salah,8157,3,1
Algeria,Jijel,286736,354,3
Algeria,Khenchela,217572,159,2
Algeria,Laghouat,442944,91,2
Algeria,Mascara,301357,140,2
Algeria,Medea,338884,190,2
Algeria,Mila,220760,112,2
Algeria,Mostaganem,270634,144,2
Algeria,Msila,378754,131,2
Algeria,Naama,68782,30,1
Algeria,Oran,898430,536,3
Algeria,Ouargla,353934,206,3
Algeria,Oum El Bouaghi,341737,102,2
Algeria,Relizane,435595,216,3
Algeria,Saida,153387,68,2
Algeria,Sidi Bel Abbes,420449,283,3
Algeria,Skikda,521372,428,3
Algeria,Souk Ahras,181029,56,2
Algeria,Tamanrasset,28558,251,3
Algeria,Tebessa,494860,212,3
Algeria,Tiaret,479073,230,3
Algeria,Tindouf,35942,142,2
Algeria,Tipaza,372229,190,2
Algeria,Tlemcen,461534,185,2
Angola,Bengo,57427,90,2
Angola,Benguela,454836,217,3
Angola,Bie,180359,539,3
Angola,Cabinda,867885,197,2
Angola,Cuando Cubango,39046,177,2
Angola,Cuanza Norte,118984,84,2
Angola,Cuanza Sul,210805,89,2
Angola,Cunene,16797,37,1
Angola,Huambo,456356,442,3
Angola,Huila,154113,178,2
Angola,Luanda,4922206,580,3
Angola,Lunda Norte,192076,350,3
Angola,Lunda Sul,195378,72,2
Angola,Malanje,178363,486,3
Angola,Moxico,419376,116,2
Angola,Namibe,87850,24,1
Angola,Uige,327964,363,3
Angola,Zaire,183380,82,2
Benin,Alibori,294827,556,3
Benin,Atacora,269017,447,3
Benin,Atlantique,442749,50,2
Benin,Borgou,481351,252,3
Benin,Collines,216829,67,2
Benin,Couffo,214322,25,1
Benin,Donga,118392,57,2
Benin,Littoral,695671,135,2
Benin,Mono,137742,18,1
Benin,Oueme,488053,47,1
Benin,Plateau,205127,34,1
Benin,Zou,350094,37,1
Botswana,Central,111446,19,1
Botswana,Chobe,3706,3,1
Botswana,North East,7823,12,1
Botswana,Kgatleng,27406,6,1
Botswana,Kweneng,62586,22,1
Botswana,Ngamiland,45448,5,1
Botswana,South East,143722,81,2
Botswana,Ngwaketsi,24038,3,1
Burkina Faso,Boucle du Mouhoun,604962,1304,3
Burkina Faso,Cascades,257752,388,3
Burkina Faso,Centre,1329118,744,3
Burkina Faso,Centre-Est,399042,696,3
